accelerometer_z
9.932
9.909
9.916
9.914
9.929
9.925
9.922
9.916
9.917
9.904
9.921
9.914
9.935
9.895
9.92
9.899
9.904
9.908
9.896
9.914
9.92
9.901
9.897
9.909
9.896
9.905
9.889
9.897
9.869
9.9
9.875
9.866
9.876
9.858
9.87
9.86
9.879
9.856
9.867
9.867
9.843
9.851
9.857
9.854
9.836
9.834
9.848
9.835
9.845
9.818
9.831
9.815
9.808
9.808
9.812
9.796
9.819
9.799
9.805
9.797
9.803
9.786
9.771
9.784
9.79
9.782
9.782
9.773
9.78
9.781
9.773
9.756
9.76
9.762
9.763
9.766
9.771
9.765
9.762
9.751
9.758
9.765
9.754
9.75
9.76
9.746
9.744
9.758
9.75
9.748
9.749
9.744
9.742
9.727
9.754
9.753
9.747
9.75
9.744
9.739
9.735
9.743
9.737
9.757
9.76
9.746
9.744
9.744
9.741
9.743
9.736
9.763
9.737
9.742
9.727
9.759
9.727
9.77
9.727
9.731
9.733
9.729
9.757
9.749
9.74
9.728
9.739
9.756
9.746
9.748
9.754
9.756
9.746
9.755
9.741
9.737
9.762
9.723
9.748
9.737
9.765
9.732
9.765
9.741
9.753
9.745
9.767
9.754
9.76
9.736
9.747
9.76
9.753
9.762
9.761
9.747
9.755
9.757
9.752
9.759
9.742
9.763
9.768
9.766
9.747
9.778
9.771
9.756
9.76
9.762
9.762
9.756
9.744
9.769
9.751
9.749
9.758
9.757
9.765
9.755
9.75
9.753
9.764
9.755
9.777
9.762
9.775
9.758
9.778
9.769
9.772
9.77
9.777
9.758
9.762
9.772
9.778
9.776
9.762
9.775
9.774
9.772
9.767
9.796
9.753
9.773
9.766
9.777
9.765
9.778
9.785
9.77
9.758
9.809
9.788
9.782
9.756
9.777
9.787
9.794
9.785
9.772
9.785
9.785
9.788
9.806
9.783
9.771
9.788
9.752
9.77
9.774
9.773
9.8
9.78
9.785
9.782
9.774
9.783
9.776
9.797
9.775
9.806
9.792
9.788
9.803
9.787
9.78
9.779
9.79
9.79
9.8
9.801
9.799
9.782
9.794
9.784
9.796
9.783
9.786
9.803
9.794
9.785
9.781
9.787
9.793
9.798
9.783
9.787
9.803
9.797
9.776
9.823
9.772
9.823
9.812
9.818
9.813
9.804
9.805
9.832
9.802
9.827
9.817
9.832
9.802
9.818
9.829
9.816
9.828
9.81
9.812
9.81
9.823
9.823
9.825
9.83
9.839
9.829
9.832
9.826
9.836
9.808
9.843
9.821
9.83
9.848
9.833
9.846
9.822
9.842
9.838
9.825
9.844
9.824
9.844
9.842
9.836
9.849
9.826
9.849
9.83
9.851
9.846
9.847
9.83
9.837
9.833
9.861
9.848
9.84
9.851
9.841
9.857
9.85
9.853
9.851
9.837
9.855
9.865
9.852
9.844
9.849
9.852
9.854
9.827
9.844
9.851
9.845
9.863
9.857
9.854
9.848
9.863
9.85
9.847
9.857
9.842
9.865
9.859
9.856
9.858
9.858
9.852
9.842
9.866
9.856
9.847
9.857
9.859
9.848
9.859
9.859
9.859
9.856
9.853
9.858
9.847
9.841
9.866
9.848
9.859
9.856
9.852
9.845
9.872
9.872
9.865
9.855
9.865
9.843
9.878
9.855
9.849
9.848
9.863
9.84
9.876
9.848
9.893
9.824
9.849
9.87
9.852
9.887
9.868
9.809
9.857
9.841
9.871
9.889
9.861
9.874
9.818
9.862
9.835
9.871
9.889
9.85
9.869
9.829
9.85
9.872
9.853
9.879
9.852
9.852
9.843
9.847
9.873
9.862
9.878
9.855
9.853
9.839
9.876
9.869
9.878
9.863
9.86
9.871
9.842
9.873
9.887
9.857
9.867
9.855
9.872
9.856
9.86
9.863
9.861
9.874
9.851
9.866
9.86
9.869
9.863
9.864
9.848
9.869
9.854
9.866
9.866
9.873
9.851
9.858
9.871
9.867
9.872
9.879
9.883
9.879
9.86
9.854
9.875
9.875
9.875
9.885
9.876
9.868
9.882
9.853
9.886
9.863
9.897
9.829
9.874
9.867
9.883
9.875
9.867
9.869
9.854
9.896
9.86
9.877
9.889
9.858
9.863
9.881
9.868
9.895
9.851
9.865
9.859
9.838
9.889
9.855
9.888
9.852
9.851
9.872
9.88
9.858
9.883
9.87
9.876
9.853
9.87
9.838
9.861
9.863
9.883
9.864
9.86
9.854
9.889
9.862
9.86
9.861
9.876
9.868
9.856
9.866
9.856
9.881
9.861
9.882
9.859
9.873
9.843
9.871
9.842
9.875
9.863
9.865
9.864
9.87
9.855
9.869
9.865
9.881
9.867
9.837
9.869
9.876
9.88
9.867
9.854
9.862
9.838
9.874
9.87
9.848
9.869
